Table 24: News Items Heard of Recent Changes in Business Conditions,,,,,,,,,,,,,,,,,,,
Month,Year,Favorable<br>Government: elections,Favorable<br>Employment,Favorable<br>Higher Consumer Demand,Favorable<br>Lower Prices,Favorable<br>Easier Credit,Favorable<br>Stock Market,Favorable<br>Trade Deficit,Unfavorable<br>Government: elections,Unfavorable<br>Unemployment,Unfavorable<br>Lower Consumer Demand,Unfavorable<br>Higher Prices,Unfavorable<br>Tighter Credit,Unfavorable<br>Energy Crisis,Unfavorable<br>Stock Market,Unfavorable<br>Trade Deficit,Relative: prices,Relative: employment,Relative: government
1,2000,1,12,2,2,1,6,1,1,10,0,1,5,0,5,0,1,2,0
2,2000,1,12,2,0,2,4,1,1,11,2,3,7,0,2,0,-3,1,0
3,2000,0,10,1,0,1,4,0,1,13,1,13,9,0,6,0,-13,-3,-1
4,2000,1,10,1,1,1,3,0,1,10,1,8,6,0,8,0,-7,0,0
5,2000,1,9,2,0,0,3,0,2,13,1,5,8,0,10,0,-5,-4,-1
6,2000,1,7,1,1,0,2,0,0,13,2,7,11,0,10,2,-6,-6,1
7,2000,1,10,1,1,1,3,1,2,13,1,8,8,0,8,1,-7,-3,-1
8,2000,0,9,0,1,1,1,0,1,13,1,7,8,0,6,1,-6,-4,-1
9,2000,1,6,0,1,2,2,0,2,12,2,7,4,0,3,1,-6,-6,-1
10,2000,0,7,0,0,0,2,0,2,13,1,11,3,0,7,1,-11,-6,-2
11,2000,1,7,1,0,1,1,0,2,16,3,6,2,0,10,1,-6,-9,-1
12,2000,1,6,1,0,1,1,0,5,15,2,3,2,0,11,0,-3,-9,-4
1,2001,1,3,1,0,7,1,0,3,31,6,5,3,0,15,1,-5,-28,-2
2,2001,2,4,0,0,5,0,0,2,49,4,5,1,1,11,1,-5,-45,0
3,2001,3,8,0,0,4,1,0,3,38,4,4,1,0,16,0,-4,-30,0
4,2001,0,2,0,0,3,0,0,2,43,4,4,1,0,22,0,-4,-41,-2
5,2001,0,4,1,0,4,1,0,2,44,4,9,0,1,12,0,-9,-40,-2
6,2001,2,6,0,0,3,3,0,1,38,2,7,1,1,7,1,-7,-32,1
7,2001,3,4,1,1,5,1,0,1,37,3,1,1,1,11,0,0,-33,2
8,2001,1,6,1,1,3,0,0,3,41,3,3,0,0,10,1,-2,-35,-2
9,2001,0,3,0,0,4,1,0,8,48,6,2,1,0,16,1,-2,-45,-8
10,2001,1,4,0,0,4,1,0,19,48,8,2,1,0,17,1,-2,-44,-18
11,2001,1,3,1,1,4,1,0,11,51,11,0,0,0,9,0,1,-48,-10
12,2001,1,4,1,1,5,1,0,12,51,10,0,0,0,8,1,1,-47,-11
1,2002,1,5,2,0,3,2,0,10,55,7,0,0,0,6,1,0,-50,-9
2,2002,1,8,2,0,3,1,0,9,60,8,1,0,0,8,0,-1,-52,-8
3,2002,1,10,2,0,1,4,0,8,50,2,2,0,0,4,0,-2,-40,-7
4,2002,1,11,5,0,2,5,1,3,41,4,5,1,0,3,1,-5,-30,-2
5,2002,1,8,2,0,3,3,0,5,35,4,3,1,0,5,1,-3,-27,-4
6,2002,0,11,2,0,2,2,0,4,37,4,1,0,0,10,1,-1,-26,-4
7,2002,1,4,1,0,2,1,0,4,35,2,1,0,0,18,0,-1,-31,-3
8,2002,2,4,1,1,1,1,0,2,32,3,1,0,0,20,0,0,-28,0
9,2002,2,7,2,0,3,1,0,5,38,4,1,0,0,11,0,-1,-31,-3
10,2002,3,4,1,0,2,2,0,5,35,5,1,1,0,15,1,-1,-31,-2
11,2002,2,6,1,0,3,2,0,5,39,7,2,0,0,9,1,-2,-33,-3
12,2002,1,7,5,1,2,4,0,5,38,4,1,0,0,6,0,0,-31,-4
1,2003,4,7,1,1,3,3,0,7,44,8,1,0,0,5,0,0,-37,-3
2,2003,2,9,1,0,3,2,0,8,38,5,4,0,0,8,1,-4,-29,-6
3,2003,3,7,1,1,2,1,0,9,40,7,8,0,0,9,2,-7,-33,-6
4,2003,3,5,0,1,2,3,0,9,41,5,2,0,0,9,1,-1,-36,-6
5,2003,6,7,1,1,3,5,0,9,40,4,2,0,0,5,1,-1,-33,-3
6,2003,5,8,2,1,3,6,0,7,34,3,1,0,0,4,0,0,-26,-2
7,2003,2,7,1,0,6,7,0,5,33,2,2,0,0,2,1,-2,-26,-3
8,2003,2,10,3,0,4,6,0,4,33,3,1,1,0,4,1,-1,-23,-2
9,2003,2,11,2,0,2,6,0,5,38,4,3,1,0,2,2,-3,-27,-3
10,2003,1,13,1,0,1,8,0,7,33,3,1,0,0,2,2,-1,-20,-6
11,2003,1,21,3,0,1,8,0,4,27,2,2,0,0,1,2,-2,-6,-3
12,2003,2,19,6,0,2,10,1,4,23,5,1,1,0,2,3,-1,-4,-2
1,2004,1,19,5,1,2,11,0,4,23,3,1,0,0,1,3,0,-4,-3
2,2004,2,13,2,0,2,6,0,5,32,4,1,0,0,1,1,-1,-19,-3
3,2004,2,19,1,0,2,6,0,3,40,2,2,0,0,1,0,-2,-21,-1
4,2004,2,20,2,0,3,6,0,3,29,2,8,2,0,2,0,-8,-9,-1
5,2004,1,26,2,0,2,3,0,5,25,1,11,4,0,2,0,-11,1,-4
6,2004,1,27,3,0,2,4,0,6,25,3,10,2,0,1,0,-10,2,-5
7,2004,1,26,2,1,1,4,0,3,24,3,6,3,0,1,1,-5,2,-2
8,2004,2,18,1,1,1,2,0,3,29,4,6,2,0,3,0,-5,-11,-1
9,2004,2,15,2,0,1,1,0,6,33,4,3,1,0,1,1,-3,-18,-4
10,2004,3,15,2,0,2,2,0,5,28,1,8,1,0,1,0,-8,-13,-2
11,2004,3,17,0,1,1,3,0,6,22,4,6,3,0,0,1,-5,-5,-3
12,2004,4,16,5,1,1,6,1,5,22,3,5,2,0,1,3,-4,-6,-1
1,2005,2,17,3,1,1,5,0,4,22,3,3,2,0,1,2,-2,-5,-2
2,2005,2,17,1,1,1,4,0,6,20,2,3,2,0,1,1,-2,-3,-4
3,2005,2,15,2,0,2,3,0,6,21,2,10,3,1,1,2,-10,-6,-4
4,2005,1,10,1,0,0,2,0,5,19,3,15,6,0,4,2,-15,-9,-4
5,2005,1,13,1,1,1,0,0,6,23,2,14,4,1,3,1,-13,-10,-5
6,2005,1,12,1,1,2,2,0,3,21,4,10,2,0,2,1,-9,-9,-2
7,2005,1,14,1,1,2,2,1,4,26,2,11,3,0,1,2,-10,-12,-3
8,2005,2,13,1,0,0,3,0,4,26,2,12,2,0,1,1,-12,-13,-2
9,2005,1,8,1,0,0,2,1,5,24,3,25,2,0,2,1,-25,-16,-4
10,2005,1,7,1,0,1,0,0,5,23,3,26,3,0,1,1,-26,-16,-4
11,2005,1,10,1,1,1,1,0,5,24,5,21,4,0,1,1,-20,-14,-4
12,2005,1,13,3,3,1,3,0,4,35,5,10,3,0,0,2,-7,-22,-3
1,2006,1,17,2,1,1,4,0,3,25,5,8,3,0,1,1,-7,-8,-2
2,2006,1,10,1,1,1,2,0,8,32,4,8,4,0,2,1,-7,-22,-7
3,2006,1,11,2,1,0,4,0,8,29,6,6,2,0,1,1,-5,-18,-7
4,2006,1,14,2,0,1,2,0,5,25,3,16,2,0,1,1,-16,-11,-4
5,2006,1,11,1,0,1,2,0,3,25,3,26,4,0,1,0,-26,-14,-2
6,2006,2,10,0,0,0,1,0,6,25,4,17,7,0,2,1,-17,-15,-4
7,2006,1,11,1,0,1,3,0,6,23,4,14,7,0,3,1,-14,-12,-5
8,2006,1,9,0,2,1,2,0,7,17,4,18,4,0,1,1,-16,-8,-6
9,2006,1,11,2,6,2,2,0,5,22,5,11,4,0,2,1,-5,-11,-4
10,2006,1,14,1,9,2,8,0,5,23,3,5,2,0,1,1,4,-9,-4
11,2006,2,12,2,9,2,8,0,5,23,2,5,3,0,1,0,4,-11,-3
12,2006,2,10,4,5,2,5,0,6,17,2,7,2,0,0,0,-2,-7,-4
1,2007,2,15,2,5,2,5,0,6,20,3,6,2,0,0,0,-1,-5,-4
2,2007,1,11,1,4,3,2,0,7,25,2,4,0,0,0,1,0,-14,-6
3,2007,1,9,1,1,2,1,0,5,23,3,7,2,0,11,2,-6,-14,-4
4,2007,0,9,1,0,1,2,0,4,23,3,10,3,0,3,2,-10,-14,-4
5,2007,1,11,1,1,1,7,0,4,21,3,13,2,0,1,2,-12,-10,-3
6,2007,2,13,1,2,1,5,0,4,19,4,13,2,0,1,1,-11,-6,-2
7,2007,1,13,1,1,1,5,0,4,18,3,10,3,0,1,1,-9,-5,-3
8,2007,1,9,2,1,1,2,0,4,21,4,7,4,0,9,1,-6,-12,-3
9,2007,1,9,1,0,3,2,0,4,24,3,6,3,0,6,2,-6,-15,-3
10,2007,1,8,1,1,5,5,0,5,22,4,6,5,0,5,2,-5,-14,-4
11,2007,1,7,0,0,3,2,0,4,23,6,15,1,0,4,2,-15,-16,-3
12,2007,1,5,1,1,2,1,0,3,24,8,16,3,0,5,2,-15,-19,-2
1,2008,0,5,1,1,3,0,0,3,24,6,15,1,0,7,1,-14,-19,-3
2,2008,2,6,0,0,5,0,0,3,33,6,11,1,0,7,2,-11,-27,-1
3,2008,1,3,0,0,2,1,1,3,34,5,19,2,0,6,3,-19,-31,-2
4,2008,2,4,0,0,3,0,0,5,37,6,18,2,0,7,2,-18,-33,-3
5,2008,3,6,0,0,2,1,0,2,37,8,31,1,0,4,3,-31,-31,1
6,2008,1,3,0,0,1,0,1,3,40,8,34,0,0,4,1,-34,-37,-2
7,2008,2,5,0,0,1,0,0,3,38,5,30,1,0,7,2,-30,-33,-1
8,2008,2,5,1,1,0,0,0,4,35,10,25,2,0,4,2,-24,-30,-2
9,2008,1,5,0,4,1,0,1,9,31,7,17,2,0,10,1,-13,-26,-8
10,2008,2,3,0,1,1,1,0,14,35,8,9,7,0,18,1,-8,-32,-12
11,2008,3,2,1,3,1,0,0,10,50,10,8,8,0,16,0,-5,-48,-7
12,2008,2,1,1,4,0,0,0,10,60,11,3,6,0,10,0,1,-59,-8
1,2009,4,4,0,2,1,0,0,5,61,16,4,3,0,7,0,-2,-57,-1
2,2009,5,4,0,0,1,0,0,9,74,11,4,4,0,8,0,-4,-70,-4
3,2009,6,4,0,0,0,1,0,9,60,12,1,4,0,10,1,-1,-56,-3
4,2009,8,7,1,1,3,2,0,10,60,10,1,3,0,6,0,0,-53,-2
5,2009,5,11,1,0,2,6,0,9,64,6,2,3,0,2,0,-2,-53,-4
6,2009,4,10,1,1,3,5,0,9,65,7,3,3,0,2,0,-2,-55,-5
7,2009,6,12,1,1,1,4,0,11,58,5,3,2,0,3,0,-2,-46,-5
8,2009,4,17,2,1,1,7,0,13,48,7,2,1,0,2,0,-1,-31,-9
9,2009,6,25,3,2,2,7,0,7,41,6,1,2,0,1,0,1,-16,-1
10,2009,6,18,3,1,2,7,0,7,46,6,1,3,0,1,1,0,-28,-1
11,2009,3,17,3,1,1,7,1,11,47,3,2,2,0,1,0,-1,-30,-8
12,2009,4,22,5,1,2,5,0,10,45,5,2,3,0,1,0,-1,-23,-6
1,2010,4,18,4,1,1,7,0,12,36,3,1,3,0,1,0,0,-18,-8
2,2010,5,15,2,1,1,5,0,12,37,4,0,3,0,1,1,1,-22,-7
3,2010,3,24,4,0,1,5,0,13,39,4,2,3,0,1,0,-2,-15,-10
4,2010,6,26,3,0,0,8,0,20,38,4,1,2,0,1,0,-1,-12,-14
5,2010,3,24,4,1,2,8,0,13,35,1,2,3,1,3,1,-1,-11,-10
6,2010,2,24,3,0,3,2,0,9,29,3,1,1,8,5,2,-1,-5,-7
7,2010,2,16,3,0,2,2,0,15,36,4,2,2,6,3,0,-2,-20,-13
8,2010,5,19,2,1,2,3,0,14,35,2,2,3,1,2,1,-1,-16,-9
9,2010,4,18,2,0,2,3,0,10,41,5,0,2,0,3,0,0,-23,-6
10,2010,3,18,3,0,2,3,0,14,42,2,2,2,0,1,1,-2,-24,-11
11,2010,5,25,3,0,1,6,0,9,32,4,1,1,0,1,1,-1,-7,-4
12,2010,7,27,6,1,1,3,0,11,30,6,2,1,0,1,2,-1,-3,-4
1,2011,6,21,8,0,1,5,0,9,30,2,6,1,0,0,1,-6,-9,-3
2,2011,4,29,5,0,1,8,0,7,24,3,4,1,0,1,1,-4,5,-3
3,2011,3,28,3,0,1,3,0,9,26,5,14,1,0,0,1,-14,2,-6
4,2011,2,24,3,0,1,3,0,11,31,3,11,1,0,0,0,-11,-7,-9
5,2011,3,30,2,1,1,4,0,8,26,1,15,1,0,1,1,-14,4,-5
6,2011,2,22,1,0,1,2,0,9,32,5,7,2,0,2,1,-7,-10,-7
7,2011,1,16,2,1,1,3,0,16,37,5,4,1,0,1,1,-3,-21,-15
8,2011,2,12,1,0,1,1,0,26,43,7,4,3,0,10,1,-4,-31,-24
9,2011,4,12,1,0,2,2,0,17,40,3,4,2,0,8,2,-4,-28,-13
10,2011,3,17,2,0,1,1,0,16,38,4,3,4,0,3,3,-3,-21,-13
11,2011,3,16,1,0,2,1,0,14,37,4,4,1,0,4,5,-4,-21,-11
12,2011,4,21,7,1,1,2,0,11,27,4,2,1,0,3,6,-1,-6,-7
1,2012,4,31,6,1,1,3,0,10,25,2,3,1,0,1,2,-2,6,-6
2,2012,3,33,5,0,0,3,0,7,24,4,6,1,0,1,1,-6,9,-4
3,2012,3,38,3,0,2,7,0,8,23,4,12,1,0,0,1,-12,15,-5
4,2012,2,34,3,1,2,2,0,9,25,5,11,1,0,1,1,-10,9,-7
5,2012,1,34,3,3,1,4,0,9,23,2,5,1,0,1,2,-2,11,-8
6,2012,2,27,3,1,3,1,0,14,28,2,2,2,1,3,5,-1,-1,-12
7,2012,4,18,1,2,2,3,1,14,29,2,5,1,1,3,3,-3,-11,-10
8,2012,2,21,3,1,1,2,0,14,27,3,4,2,0,1,2,-3,-6,-12
9,2012,3,28,4,0,2,3,1,10,26,3,4,2,0,1,2,-4,2,-7
10,2012,3,27,2,1,2,3,0,11,25,3,3,1,0,0,1,-2,2,-8
11,2012,3,29,2,1,2,2,0,17,28,2,3,0,0,2,2,-2,1,-14
12,2012,3,24,4,2,2,1,0,27,30,2,1,1,0,1,1,1,-6,-24
1,2013,7,25,2,1,1,1,1,31,24,3,3,0,0,1,1,-2,1,-24
2,2013,4,29,2,0,1,4,1,24,22,4,3,1,0,0,1,-3,7,-20
3,2013,2,28,3,1,2,8,0,27,26,3,3,1,0,1,1,-2,2,-25
4,2013,1,24,3,0,1,8,0,22,27,2,1,1,0,1,1,-1,-3,-21
5,2013,3,34,3,1,2,7,1,15,23,3,3,0,0,1,0,-2,11,-12
6,2013,2,26,4,1,1,8,0,10,22,2,1,1,0,1,1,0,4,-8
7,2013,1,33,3,1,1,8,0,18,21,2,1,3,1,1,1,0,12,-17
8,2013,2,26,2,0,2,4,0,19,24,2,3,2,0,1,0,-3,2,-17
9,2013,2,23,3,0,1,4,0,22,25,5,2,2,0,1,1,-2,-2,-20
10,2013,2,16,3,1,1,2,0,37,22,4,2,1,0,1,1,-1,-6,-35
11,2013,4,18,3,2,1,3,0,32,30,6,2,1,0,1,1,0,-12,-28
12,2013,3,22,2,1,0,7,0,31,24,3,2,2,0,0,0,-1,-2,-28
1,2014,3,22,3,1,1,9,0,26,24,4,2,1,0,1,1,-1,-2,-23
2,2014,4,22,3,0,1,5,0,27,29,3,3,1,0,3,1,-3,-7,-23
3,2014,4,16,3,0,1,4,0,23,29,5,2,0,0,1,0,-2,-13,-19
4,2014,3,21,3,1,1,4,0,19,25,5,3,1,1,1,0,-2,-4,-16
5,2014,5,23,4,0,1,4,0,18,23,6,5,2,0,1,0,-5,0,-13
6,2014,3,21,3,0,1,4,0,19,20,4,5,1,1,2,0,-5,1,-16
7,2014,3,30,4,0,1,6,0,19,28,3,5,1,1,1,1,-5,2,-16
8,2014,2,24,3,1,2,4,0,16,23,6,2,0,0,2,0,-1,1,-14
9,2014,2,23,2,1,2,4,0,15,25,3,4,2,0,2,1,-3,-2,-13
10,2014,2,27,1,3,2,6,1,15,21,5,2,1,1,3,0,1,6,-13
11,2014,7,27,3,6,1,4,0,15,20,5,1,0,0,1,2,5,7,-8
12,2014,6,24,4,12,2,6,1,16,11,3,1,0,1,1,1,11,13,-10
1,2015,5,26,4,17,2,7,1,15,14,1,3,0,1,3,0,14,12,-10
2,2015,3,24,4,12,3,5,1,14,19,4,2,1,0,1,1,10,5,-11
3,2015,4,21,4,6,3,4,0,19,18,4,4,1,0,1,2,2,3,-15
4,2015,3,23,4,8,2,4,1,9,16,5,3,1,0,2,2,5,7,-6
5,2015,2,23,3,6,2,3,0,15,23,3,3,1,0,2,2,3,0,-13
6,2015,3,21,5,2,2,3,0,14,14,4,2,1,1,1,3,0,7,-11
7,2015,6,22,2,3,2,2,1,14,16,3,4,1,0,5,7,-1,6,-8
8,2015,4,21,4,3,2,3,2,15,19,4,2,1,0,4,5,1,2,-11
9,2015,2,18,2,3,1,3,0,11,20,3,3,2,0,16,8,0,-2,-9
10,2015,3,17,2,4,1,2,1,14,21,3,2,3,0,8,8,2,-4,-11
11,2015,2,19,3,3,4,3,0,13,22,4,2,2,0,4,4,1,-3,-11
12,2015,3,18,3,5,2,2,1,15,22,4,3,4,1,3,1,2,-4,-12
1,2016,2,15,3,8,1,1,1,12,19,3,1,3,0,14,8,7,-4,-10
2,2016,3,17,3,8,0,1,0,11,21,4,1,3,0,10,6,7,-4,-8
3,2016,2,16,3,3,1,2,0,10,21,4,2,1,0,8,3,1,-5,-8
4,2016,3,16,2,4,1,2,0,18,28,4,2,1,0,4,2,2,-12,-15
5,2016,3,18,3,4,1,3,0,16,23,2,2,2,0,4,2,2,-5,-13
6,2016,2,18,3,2,1,3,0,14,21,3,2,2,1,2,3,0,-3,-12
7,2016,3,14,3,1,1,1,2,16,16,3,2,1,0,4,15,-1,-2,-13
8,2016,2,18,2,2,1,4,1,15,20,4,1,1,0,1,5,1,-2,-13
9,2016,1,18,3,1,1,3,0,14,21,4,1,2,0,2,2,0,-3,-13
10,2016,2,17,3,1,2,2,1,12,22,3,1,1,0,1,3,0,-5,-10
11,2016,7,18,3,1,2,3,0,15,16,6,2,1,0,2,1,-1,2,-8
12,2016,18,16,2,1,0,8,0,16,12,3,2,2,0,4,3,-1,4,2
1,2017,20,23,2,1,1,6,1,21,15,2,1,3,0,1,1,0,8,-1
2,2017,28,21,2,0,0,9,1,26,11,2,2,1,0,1,1,-2,10,2
3,2017,25,24,2,0,0,11,0,24,14,2,1,1,0,2,1,-1,10,1
4,2017,24,21,1,1,1,7,1,22,15,1,1,1,2,1,1,0,6,2
5,2017,25,20,1,0,1,6,1,20,13,4,1,1,1,1,1,-1,7,5
6,2017,19,22,1,0,0,7,0,25,17,3,2,1,2,2,2,-2,5,-6
7,2017,13,19,2,2,1,6,1,23,17,3,0,1,2,1,1,2,2,-10
8,2017,16,21,2,0,0,10,0,18,14,4,1,1,1,1,1,-1,7,-2
9,2017,14,23,3,0,1,7,0,21,15,3,1,1,1,1,2,-1,8,-7
10,2017,20,18,2,0,1,7,1,17,17,4,1,1,1,1,0,-1,1,3
11,2017,22,25,2,0,0,10,0,18,13,4,1,0,0,1,1,-1,12,4
12,2017,25,18,2,0,1,9,0,26,14,4,2,1,1,1,1,-2,4,-1
1,2018,35,16,3,0,0,9,0,19,15,4,2,0,0,1,0,-2,1,16
2,2018,32,21,9,0,0,7,0,18,14,1,2,2,1,6,0,-2,7,14
3,2018,29,19,4,0,0,4,0,28,11,2,1,1,0,5,3,-1,8,1
4,2018,23,17,6,0,0,4,0,27,11,4,3,2,0,7,8,-3,6,-4
5,2018,24,17,5,0,0,5,0,25,13,3,4,1,1,4,3,-4,4,-1
6,2018,22,23,5,0,0,3,1,26,11,3,4,2,1,2,5,-4,12,-4
7,2018,17,17,4,0,1,3,1,36,14,2,3,2,1,1,8,-3,3,-19
8,2018,15,22,3,0,1,4,1,33,10,3,4,1,1,2,9,-4,12,-18
9,2018,19,21,4,0,1,5,0,29,9,5,2,1,0,0,9,-2,12,-10
10,2018,18,23,5,0,0,5,1,27,11,3,3,2,0,2,5,-3,12,-9
11,2018,14,22,3,0,1,5,0,22,12,4,3,4,0,6,3,-3,10,-8
12,2018,14,15,3,1,0,2,1,27,19,3,2,4,0,8,4,-1,-4,-13
1,2019,10,17,4,0,0,4,0,34,14,4,3,2,1,13,6,-3,3,-24
2,2019,13,16,3,0,1,2,1,32,10,3,2,2,0,6,6,-2,6,-19
3,2019,13,19,3,0,1,4,1,22,14,3,3,2,0,3,4,-3,5,-9
4,2019,12,22,3,0,4,5,0,24,14,3,2,3,0,3,3,-2,8,-12
5,2019,11,20,6,1,2,3,1,22,13,2,4,1,0,2,5,-3,7,-11
6,2019,10,18,3,1,2,3,1,30,11,5,3,1,0,3,7,-2,7,-20
7,2019,8,21,3,0,2,5,2,25,13,4,2,1,1,2,7,-2,8,-17
8,2019,7,13,2,0,3,2,1,27,14,3,3,4,0,5,10,-3,-1,-20
9,2019,8,13,4,0,2,3,1,30,11,2,5,2,1,7,11,-5,2,-22
10,2019,9,19,2,0,3,3,1,22,12,3,2,2,1,4,12,-2,7,-13
11,2019,9,15,2,1,4,5,2,19,17,3,2,2,0,3,8,-1,-2,-10
12,2019,4,23,3,0,2,6,3,20,13,4,2,1,0,2,8,-2,10,-16
1,2020,11,20,5,1,2,9,3,16,14,4,2,1,0,2,4,-1,6,-5
2,2020,14,17,3,0,2,6,2,14,16,4,1,1,1,3,9,-1,1,0
3,2020,7,14,2,1,1,3,0,13,18,11,1,1,0,17,8,0,-4,-6
4,2020,7,7,1,1,1,1,0,7,68,10,0,1,0,11,1,1,-61,0
5,2020,4,7,0,1,1,1,0,12,89,8,1,0,0,6,1,0,-82,-8
6,2020,4,14,0,0,1,2,0,13,76,8,1,1,0,5,2,-1,-62,-9
7,2020,4,13,1,0,1,2,0,12,73,10,1,0,0,3,1,-1,-60,-8
8,2020,3,12,1,0,1,3,0,16,70,9,1,0,0,1,1,-1,-58,-13
9,2020,5,20,1,0,1,6,0,10,68,9,1,0,0,1,1,-1,-48,-5
10,2020,2,20,1,0,2,3,0,13,64,9,0,0,0,2,1,0,-44,-11
11,2020,4,16,0,0,1,2,0,16,60,9,0,0,1,2,1,0,-44,-12
12,2020,7,14,1,0,0,6,1,19,61,8,1,0,0,1,0,-1,-47,-12
1,2021,7,14,1,0,1,4,0,16,65,11,2,0,0,1,0,-2,-51,-9
2,2021,10,17,1,0,1,3,0,22,49,5,3,0,2,2,0,-3,-32,-12
3,2021,13,22,3,0,1,3,0,17,34,5,6,1,3,1,0,-6,-12,-4
4,2021,12,34,4,0,1,3,0,21,23,3,6,0,0,1,0,-6,11,-9
5,2021,14,31,8,0,1,2,0,21,27,3,9,0,1,0,1,-9,4,-7
6,2021,11,33,10,0,1,3,0,14,28,3,17,1,0,2,1,-17,5,-3
7,2021,6,30,9,1,1,1,0,13,25,3,17,1,1,2,0,-16,5,-7
8,2021,6,23,7,0,2,2,0,16,27,4,14,1,0,1,1,-14,-4,-10
9,2021,5,19,5,1,1,2,0,17,35,3,11,0,1,0,1,-10,-16,-12
10,2021,6,19,4,0,0,1,0,16,27,3,15,1,0,1,1,-15,-8,-10
11,2021,4,15,7,0,0,2,0,18,32,2,24,0,0,1,0,-24,-17,-14
12,2021,7,15,9,0,0,1,0,13,33,4,25,1,0,2,0,-25,-18,-6
1,2022,5,15,6,0,1,2,0,12,29,4,24,2,0,3,1,-24,-14,-7
2,2022,4,13,4,0,1,1,0,10,28,3,30,7,1,4,0,-30,-15,-6
3,2022,5,14,5,0,0,0,0,18,21,4,33,3,0,3,0,-33,-7,-13
4,2022,5,16,5,0,1,0,0,15,20,5,31,6,1,2,1,-31,-4,-10
5,2022,3,13,4,0,0,0,0,12,19,5,32,7,1,6,0,-32,-6,-9
6,2022,1,13,3,0,0,0,0,10,19,5,38,8,1,5,1,-38,-6,-9
7,2022,1,9,2,1,0,0,0,11,26,5,37,8,0,4,1,-36,-17,-10
8,2022,3,11,2,3,0,1,0,12,23,6,29,7,1,3,1,-26,-12,-9
9,2022,2,13,3,5,0,1,0,12,22,5,28,9,1,4,1,-23,-9,-10
10,2022,3,10,2,2,0,0,0,11,19,6,27,12,1,5,0,-25,-9,-8
11,2022,4,7,1,1,0,1,0,7,19,5,32,13,1,3,0,-31,-12,-3
12,2022,4,9,3,3,1,1,0,7,20,5,25,10,2,2,1,-22,-11,-3
1,2023,2,12,2,6,1,1,0,6,26,5,21,10,1,3,1,-15,-14,-4
2,2023,2,12,3,5,1,2,0,8,28,5,21,7,1,3,0,-16,-16,-6
3,2023,1,12,3,4,0,0,0,9,23,5,19,12,0,2,0,-15,-11,-8
4,2023,2,7,2,3,0,1,0,10,28,6,18,11,1,2,2,-15,-21,-8
5,2023,2,8,2,3,1,1,0,12,32,6,19,11,1,2,1,-16,-24,-10